Total result files found: 1000
Total files analyzed: 1000
Dominant Error State Check: 74.00% of files contain this error
Nondeterministic Confusion Check: 65.60% of files contain this error
Vacuous Confusion Check: 0.00% of files contain this error
Dominant Blocking State Check: 0.00% of files contain this error

Errors by FMMFSM State:
State Inactive - Dominant Error State Check: 2066 errors
State Inactive - Nondeterministic Confusion Check: 496 errors
State Active - Nondeterministic Confusion Check: 410 errors

Errors by Action:
Action NoGas - Dominant Error State Check: 950 errors
Action NoGas - Nondeterministic Confusion Check: 433 errors
Action Gas - Dominant Error State Check: 376 errors
Action Gas - Nondeterministic Confusion Check: 242 errors


Errors by Files:

Dominant Error State Check:
  computed/cruise_272/result/cruise_272PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5172178910838053}, Binary True State: {'Active': 0.4931233639241529}
  computed/cruise_272/result/cruise_272PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5162387840191607}, Binary True State: {'Active': 0.499019574113611}
  computed/cruise_843/result/cruise_843PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5672837030714747}, Binary True State: {'Active': 0.518234760745849}
  computed/cruise_244/result/cruise_244PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5102877548955311}, Binary True State: {'Active': 0.4528781295811116}
  computed/cruise_412/result/cruise_412PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5203518038213968}, Binary True State: {'Active': 0.49733293294907843}
  computed/cruise_412/result/cruise_412PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5442062882403207}, Binary True State: {'Active': 0.4475996396541706}
  computed/cruise_412/result/cruise_412PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5646075983543476}, Binary True State: {'Active': 0.40283967568875356}
  computed/cruise_412/result/cruise_412PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5821469317419758}, Binary True State: {'Active': 0.36255570811987825}
  computed/cruise_620/result/cruise_620PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5451434777736626}, Binary True State: {'Active': 0.48390006328392654}
  computed/cruise_620/result/cruise_620PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5671539877627056}, Binary True State: {'Active': 0.4355100569555339}
  computed/cruise_620/result/cruise_620PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.5860048669069496}, Binary True State: {'Active': 0.39195905125998054}
  computed/cruise_620/result/cruise_620PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5619715613012259}, Binary True State: {'Active': 0.4267723380219851}
  computed/cruise_881/result/cruise_881PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.45241076225152255}, Binary True State: {'Active': 0.4304672100000002}
  computed/cruise_881/result/cruise_881PostProcessed_Result.json - FMMFSM State: Inactive, Action: Gas, Fuzzy Max State: {'Inactive': 0.475982683391484}, Binary True State: {'Active': 0.38742048900000015}
  computed/cruise_881/result/cruise_881PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.4710133153772782}, Binary True State: {'Active': 0.40897178602123985}
  computed/cruise_875/result/cruise_875PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5045172609159083}, Binary True State: {'Active': 0.4829128965767564}
  computed/cruise_875/result/cruise_875PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5284447613893967}, Binary True State: {'Active': 0.4346216069190807}
  computed/cruise_875/result/cruise_875PostProcessed_Result.json - FMMFSM State: Inactive, Action: NoGas, Fuzzy Max State: {'Inactive': 0.5489395709450018}, Binary True State: {'Active': 0.3911594462271726}
  computed/cruise_875/result/cruise_875PostProcessed_Result.json - FMMFSM State: Inactive, Action: None, Fuzzy Max State: {'Inactive': 0.5665832257094162}, Binary True State: {'Active': 0.3520435016044554}
